image,latitude,longitude
FRAMES/LEFT\prise42L\2022_02_26_160833.jpg,48.56063263609032,7.516223472790663
FRAMES/LEFT\prise42L\2022_02_26_160843.jpg,48.560544047871964,7.514929060088296
FRAMES/LEFT\prise42L\2022_02_26_160853.jpg,48.56050515543244,7.513621089223639
FRAMES/LEFT\prise42L\2022_02_26_160903.jpg,48.560651802157324,7.512273406816166
FRAMES/LEFT\prise42L\2022_02_26_160913.jpg,48.56092856856133,7.511039011201236
FRAMES/LEFT\prise42L\2022_02_26_160923.jpg,48.56125241846323,7.5098321921361135
FRAMES/LEFT\prise42L\2022_02_26_160933.jpg,48.5613465366242,7.508896583457065
FRAMES/LEFT\prise42L\2022_02_26_160943.jpg,48.56119707437065,7.507938391068693
FRAMES/LEFT\prise42L\2022_02_26_160953.jpg,48.560953431710566,7.507082730879027
FRAMES/LEFT\prise42L\2022_02_26_161003.jpg,48.560754116185144,7.506202597820405
FRAMES/LEFT\prise42L\2022_02_26_161013.jpg,48.560704258862714,7.505496372827072
FRAMES/LEFT\prise42L\2022_02_26_161023.jpg,48.56080663720887,7.504684172708864
FRAMES/LEFT\prise42L\2022_02_26_161033.jpg,48.56089246784391,7.504124519566736
FRAMES/LEFT\prise42L\2022_02_26_161043.jpg,48.560903533635674,7.504104856437102
FRAMES/LEFT\prise42L\2022_02_26_161053.jpg,48.560906321146376,7.504102541833131
FRAMES/LEFT\prise42L\2022_02_26_161103.jpg,48.56091184893937,7.504099502055468
FRAMES/LEFT\prise42L\2022_02_26_161113.jpg,48.56090350266759,7.5041096288791325
FRAMES/LEFT\prise42L\2022_02_26_161123.jpg,48.560933528450136,7.503700305810398
FRAMES/LEFT\prise42L\2022_02_26_161133.jpg,48.56125823917137,7.50312028190611
FRAMES/LEFT\prise42L\2022_02_26_161143.jpg,48.5616107016107,7.502379292757565
FRAMES/LEFT\prise42L\2022_02_26_161153.jpg,48.561838274572644,7.501793722211586
